content_id,title,text,category,published_date,word_count
1567967,"Civil servants can opt for flexible working hours during Ramadan, says Fahmi","PUTRAJAYA: Civil servants will have the option to choose flexible working hours throughout the month of Ramadan, says Communications Minister Fahmi Fadzil said.

Fahmi, who is also government spokesman, said they could either maintain their existing working hours or shorten their lunch break by 30 minutes, allowing them to leave work 30 minutes earlier.

This follows discussions with Chief Secretary to the Government Tan Sri Shamsul Azri Abu Bakar and Public Service director-general Tan Sri Wan Ahmad Dahlan Abdul Aziz, he said.

""Civil servants can refer to their heads of department or agencies, deputy secretaries-general or secretaries-general for clarification if they have not yet submitted their forms or made their selection.

""So, God-willing, throughout Ramadan, civil servants who opt for flexible working hours under Option B can leave work 30 minutes earlier. However, work must still be completed,"" he told a post-Cabinet meeting press conference here on Friday (Feb 28).

Further details on flexible working hours, as outlined in the service circular, can be accessed at https://docs.jpa.gov.my/docs/pp/2019/pp052019.pdf.

In a separate development, Fahmi, said Prime Minister Datuk Seri Anwar Ibrahim has expressed appreciation to the Higher Education Ministry for its efforts in ensuring Universiti Malaysia Sabah (UMS) successfully published a scholarly work on Pulau Layang-Layang.

""This is a significant publication containing valuable research findings, which will undoubtedly be utilised by the government moving forward,"" he said.

The book, Pulau Layang-Layang: Malaysia's Gem in the South China Sea, comprises 11 chapters exploring the island's geopolitical, socio-economic and natural resource aspects.

It documents Malaysia's strategic and historical efforts in safeguarding the island's sovereignty, environmental interests, geology and ecology. – Bernama",Others,2025-02-28,267
1567539,Cambodia launches project to improve disposal capacity of plastic litter in urban provinces,"PHNOM PENH: Cambodia on Thursday (Feb 27) launched a project to improve the disposal capacity of plastic litter in urban provinces, aiming to prevent and minimise plastic waste pollution on land and in the ocean.

During the next three years, the project will work with stakeholders in urban areas, namely Phnom Penh, Tboung Khmum, Siem Reap, Preah Sihanouk, Kep, Kampot, and Koh Kong.

Speaking at the event, Environment Minister Eang Sophalleth said the rapidly growing volume of plastic waste was adding immense pressure on both waste management system and the environment.

""Plastic now constitutes 20 per cent of the municipal waste stream,"" he said. ""There is, therefore, an urgent need to reduce the volume of plastic use in Cambodia and create an environment where waste is properly managed, recovered, reused, and/or recycled.""

Sophalleth said the project would contribute significantly to the National Circular Strategy on Environment 2023-2028 and would complement corresponding campaigns such as ""Today I don't use plastic bag,"" ""Clean up Cambodia, Khmer can do,"" and ""National Roads Plastic-Free.""

Alissar Chaker, resident representative of the United Nations Development Programme in Cambodia, said plastic pollution was causing the environment to deteriorate and threatening health and wellbeing.

""The effects of marine plastic are concerning, with forecasts indicating that there could be, in 2050, more plastic than fish by weight in the ocean if no collective action is taken,"" she said. - Xinhua",Politics,2025-02-28,231
1567650,One crew member injured after ‘unauthorised boarding’ of vessel in Singapore Strait,"SINGAPORE: One crew member of a Singapore-registered chemical tanker was injured after an “unauthorised boarding” was reported in the Singapore Strait on the morning of Feb 28.

The Maritime and Port Authority of Singapore (MPA) said it was alerted to the “unauthorised boarding” of the BASSET that took place at about 7am outside Singapore territorial waters.

The authority is issuing safety broadcasts to vessels, telling them to maintain a vigilant watch.

The vessel is now anchored in Singapore waters.

The Singapore Police Coast Guard and the Singapore Civil Defence Force (SCDF) have been activated to assist the tanker’s crew, and medical evacuation of the injured crew member is under way.

In response to media queries, SCDF said it received a call for assistance at about 7.10am.

“SCDF dispatched two marine firefighting and rescue vessels from West Coast Marine Fire Station to the location,” it said.

One person was taken to National University Hospital.

There are no Singaporean crew members on board, MPA said, adding that all the crew members are accounted for.

“Safety of navigation along the Singapore Strait is not affected,” it said. - The Straits Times/ANN",Politics,2025-02-28,188
1567647,"MMEA stops boat off Semporna, seizes illegally harvested coral","KOTA KINABALU: Marine officials recently seized coral harvested illegally from an island off Semporna, with the suspect evading capture by jumping into the sea.

Before the seizure, Malaysian Maritime Enforcement Agency (MMEA) patrol units were conducting rounds near the Tanjung Tabu-Tabu area when they noticed a suspicious vessel late Wednesday (Feb 26).

MMEA Semporna zone director Maritime Cmdr Amir Shubli said a patrol unit approached the vessel, suspecting it of being involved in illegal fishing.

“A man on board jumped into the sea and swam to the nearby mangrove swamp when he saw our men approaching,” he said in a statement on Friday (Feb 28).

He said marine officials boarded the boat and inspected it, finding three boxes filled with coral.

Amir said the coral was not supposed to be harvested as it was an offence under the Fisheries Act 1985.

“The coral was seized together with the ditched vessel for further investigation. The value of the seizures is estimated at RM13,000,” he said.

He said the MMEA takes the illegal harvesting of marine resources seriously as it could harm the ecosystem, and would not hesitate to take stern action against perpetrators.

Amir urged the public to contact the Semporna maritime authorities at 089-782521 or 999 if they have any information on illegal or suspicious activities in their area.",Others,2025-02-28,219
1567641,Air quality worsens in all of Bangkok,"BANGKOK: The air quality in all 50 districts of Bangkok metropolitan was classified as “yellow” to “orange”, or moderate to starting to affect health, on Friday morning (Feb 28), the Air Quality Information Centre of the Bangkok Metropolitan Administration (BMA) said.

The centre reported the average PM2.5 levels throughout the city on Friday at 35.5 micrograms per cubic metre, slightly lower than the country's standard of 37.5 micrograms per cubic metre over a three-hour average (5am to 7am).

Yesterday’s reading at the same time was at 22.9 micrograms per cubic metre.

PM2.5 refers to fine particulate matter with a diameter of 2.5 micrometres or less, which can penetrate deep into the lungs and bloodstream, posing health risks such as respiratory and cardiovascular diseases.

Major sources of PM2.5 include traffic emissions, factories, forest fires, and burning of harvest leftovers.

The five districts that reported the highest levels of PM2.5 are Nong Khaem (50.5 micrograms per cubic metre), Bang Na (49.9 micrograms per cubic metre), Bang Khun Thian (48.3 micrograms per cubic metre), Wang Thonglang (42.4 micrograms per cubic metre), and Khlong Sam Wa (41.9 micrograms per cubic metre).

The centre advised Bangkokians to wear facemasks, avoid spending time outdoors and work from home if possible.

Those who experience symptoms such as coughing, eye irritation or having trouble breathing should see a physician, the centre added.

Air quality can be checked daily on the AirBKK application, www.airbkk.com, Line Alert, as well as the Facebook page of the BMA’s Environment Department. - The Nation/ANN",Politics,2025-02-28,251
1567637,"Russian tourist dies after being attacked by sharks in Philippine diving spot, another drowns","MANILA: Two Russian tourists died when they were swept away by strong undercurrents while scuba diving in waters south of Manila, with one believed to have drowned and the other attacked by sharks, a Philippine coast guard official said Friday (Feb 28).

Two other Russian tourists managed to swim back safely to their dive boat Thursday off Verde Island, a popular diving destination in the province of Batangas, Philippine coast guard provincial commander Capt. Airland Lapitan said.

The four Russian tourists travelled by boat to the waters off Verde Island from the nearby town of Puerto Galera in Oriental Mindoro province with a Filipino dive instructor. While diving, the five were swept away by strong undercurrents, Lapitan said.

Two of the Russians managed to surface with the dive instructor but the two other Russians, who were identified as Ilia Peregudin, 29, and Maksim Melekhov, 39, went missing.

The dive instructor and other divers in the area, along with Philippine coast guard personnel, immediately launched a search, according to Lapitan.

Melekhov was found unconscious at sea an hour later and was declared dead by doctors in a Batangas hospital, he said.

""The other Russian diver was found while being attacked by sharks. His right arm, unfortunately, had been severed and the sharks were moving around him,” Lapitan told The Associated Press. ""They somehow managed to pull him away.”

An investigation is underway and the coast guard will meet provincial officials to discuss ways to prevent such deadly incidents at Verde Island and other dive spots, Lapitan said. - AP",Politics,2025-02-28,258
1567630,"Nepal's Kathmandu rattled by strong quake, no casualties reported","KATHMANDU: A magnitude 6.1 earthquake struck north of Nepal's Kathmandu on Friday (Feb 28), according to the National Earthquake Monitoring and Research Centre.

The earthquake struck around Bhairab Kunda in the Sindhupalchok District in Nepal, close to the Himalayan mountain range that runs along the border with Tibet.

The German Research Center for Geosciences placed the magnitude of the earthquake at 5.6, and the depth at 10km (6.21 miles) while the US Geological Survey pegged it at magnitude 5.5.

There were no immediate reports of damage or casualties from the earthquake.

Pasang Nurpu Sherpa, chairman of the Bhote Koshi rural municipality, where the epicentre is located, told Reuters, ""I have no information of any damage so far. The earthquake has triggered a landslide at Dugunagadi Bhir across the river. There are no houses around the site of the landslide.""

Kiran Thapa, district governor of Sindhupalchok, said, ""One inmate of the district jail broke his hand while trying to run after the quake and he is now undergoing treatment at a hospital. One police post building developed minor cracks at Kodari.""

""It shook us from our sleep strongly,"" Ganesh Nepali, a senior official of Sindhupalchok district, told Reuters.

""We rushed out of our home. People have now returned home. We have not received any report of damage or injuries so far."" - Reuters",Politics,2025-02-28,222
1567632,E-hailing driver claims trial to sex trafficking,"KOTA KINABALU: An e-hailing driver has claimed trial to sex trafficking four teenage girls between 2023 and earlier this year.

Wong Aik Yen, 40, pleaded not guilty to four charges of trafficking the girls aged 15 and 10 months, 13 and seven months, 15 and six months and 16 and seven months for sex exploitation before Sessions Court judges Noor Hafizah Mohd Salim and Marlina Ibrahim.

Wong had allegedly committed the offences in different locations comprising a residence at a shopping mall in the city, a wellness centre, and a hotel here in March 2023, December 2024 and January this year.

If convicted under Section 14 of the Anti-Trafficking in Persons and Anti-Smuggling Migrants Act 2007, Wong could serve between five years and life in jail, and whipping.

The court set March 26 this year for case mention and ordered Wong to be remanded pending the disposal of his case.

Deputy Public Prosecutor Dacia Jane Romanus appeared for the prosecution while Wong was represented by counsel Mohamad Syazwan Shah Mohamad Ali.",Others,2025-02-28,171
1567592,Trading halted in troubled Australian casino firm,"SYDNEY: Trading in troubled Australian casino operator Star Entertainment was paused on Friday (Feb 28) as the company sought to free up enough cash to keep afloat.

Star said it was exploring ""possible liquidity solutions"" -- including last-minute bailout offers -- but conceded there was ""material uncertainty"" clouding its future.

The Australian Securities Exchange said trading in Star had been ""temporarily paused"" just minutes before the stock market opened.

The company last traded at Aus$0.12 a share (US$0.07) with a market capitalisation of Aus$344 million.

The firm has previously been accused of not adequately policing criminal infiltration and doing little to vet the sources of money coming into the business.

Watchdogs found that one patron - a Chinese real estate billionaire barred by the Australian government for being an agent of Chinese influence - had ploughed more than a billion dollars into Star over several years.

Another high-rolling patron was allegedly involved in human trafficking.

The group was temporarily delisted from the Australian Securities Exchange last year after failing to post its annual financial results. - AFP",Politics,2025-02-28,177
1567591,"Asean must enhance internal cohesion, diversify partnerships amid global challenges","KOTA TINGGI: ASEAN needs to enhance internal cohesion and diversify its external partnerships to face global economic headwinds, said Investment, Trade, and Industry Minister Tengku Datuk Seri Zafrul Abdul Aziz.

He said it is prudent for ASEAN to assess the dynamics of these situations and understand the eventualities that may significantly impact the regional economic landscape.

In his opening remarks while chairing the 31st ASEAN Economic Ministers (AEM) Retreat in Desaru,he stressed that strengthening regional economic integration can help mitigate the adverse effects of policy shifts by major economies.

He also highlighted the importance of accelerating initiatives like the Regional Comprehensive Economic Partnership (RCEP) and expanding engagement with global partners.

""One such initiative is the proposed 2nd ASEAN-Gulf Cooperation Council (GCC) Summit and the ASEAN-GCC-China Summit, which Malaysia will present during this retreat,"" he added.

He also acknowledged the spirit of ASEAN solidarity, which has been and will continue to be the foundation of the bloc's progress.

""I encourage all of us to approach our discussions with an open mind, a spirit of collaboration, and a commitment to advancing our common interests. I look forward to our fruitful discussions and to the positive outcomes that will emerge from this AEM retreat,"" said Tengku Zafrul.

On ASEAN's economic growth, he noted that foreign direct investment into the region has surged from US$129.9 billion in 2014 to US$229.8 billion in 2023, underscoring ASEAN’s continued attractiveness to foreign investors.

""Our region’s economic outlook remains optimistic with a growth projection of 4.6 per cent in 2024 and further increase to 4.7 per cent in 2025.

""While seemingly modest at this juncture, this is promising and a good indication of our region’s evolving state of economy,"" he added. - Bernama",Business,2025-02-28,285
